District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,,
Malappuram,514,84,21,2,0,,
Palakkad,441,74,18,4,0,,
Thrissur,413,75,24,3,0,,
Lakshadweep,14,4,3,1,1,,
Alirajpur,152,15,5,0,1,,
Anup Pur,174,16,7,0,1,,
Balaghat,236,36,9,1,1,,
Badwani,289,29,8,1,1,,
Betul,263,33,10,0,1,,
Bhind,186,20,7,0,1,,
Bhopal,63,10,3,2,1,,
Burhanpur,97,13,4,0,1,,
Chhatarpur,192,37,10,0,1,,
Chhindwara,341,67,13,2,1,,
Damoh,163,14,6,1,1,,
Datia,95,10,3,2,1,,
Dewas,180,22,6,1,1,,
Dhar,399,46,15,0,1,,
Dindori,160,23,7,0,1,,
Gwalior,101,15,2,4,1,,
Harda,56,6,4,0,1,,
Hoshangabad,152,15,6,2,1,,
Indore,111,25,4,3,1,,
Jabalpur,185,22,5,3,1,,
Jhabua,190,19,7,0,1,,
Khandwa,174,30,6,0,1,,
Khargone,276,54,10,2,1,,
Katni,156,17,6,1,1,,
Mandla,248,30,9,0,1,,
Mandsour,170,42,5,2,1,,
Neemuch,104,16,3,2,1,,
Raisen,176,19,8,1,1,,
Rajgarh,166,29,5,3,1,,
Ratlam,158,25,5,2,1,,
Rewa,285,28,11,1,1,,
Sagar,245,27,11,1,1,,
Sehore,154,15,8,1,1,,
Seoni,263,30,7,1,1,,
Shahdol,194,28,7,1,1,,
Shajapur,174,19,7,4,1,,
Sheopur,90,9,3,0,1,,
Shivpuri,249,12,8,0,1,,
Sidhi,145,25,6,0,1,,
Sigrouli,142,14,5,0,1,,
Tikamgarh,156,20,7,0,1,,
Ujjain,172,22,5,6,1,,
Umaria,89,12,3,0,1,,
Vidisha,146,21,7,2,1,,
Akola,178,30,5,1,0,,
Amravati,333,56,9,4,1,,
Aurangabad,279,50,10,3,0,,
Beed,280,50,12,2,1,,
Bhandara,193,33,7,2,1,,
Chandrapur,339,58,11,2,1,,
Dhule,232,41,6,3,0,,
Gadchiroli,376,45,9,3,1,,
Gondiya,238,39,10,1,1,,
Hingoli,132,24,3,1,1,,
Jalgaon,442,77,17,3,1,,
Kolhapur,413,72,16,4,0,,
Latur,252,46,10,2,0,,
Parbhani,214,31,6,2,1,,
Pune,539,96,21,3,1,,
