District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km
035,Gurdaspur,Total,"1,515",80,27,"4,43,666","22,98,323","12,12,617","10,85,706",3551.00,647
035,Gurdaspur,Rural,"1,515",80,0,"3,12,300","16,39,004","8,55,784","7,83,220",3330.27,492
035,Gurdaspur,Urban,0,0,27,"1,31,366","6,59,319","3,56,833","3,02,486",220.73,"2,987"
036,Kapurthala ,Total,612,76,9,"1,67,989","8,15,168","4,26,311","3,88,857",1633.00,499
036,Kapurthala ,Rural,612,76,0,"1,07,710","5,32,706","2,75,932","2,56,774",1543.37,345
036,Kapurthala ,Urban,0,0,9,"60,279","2,82,462","1,50,379","1,32,083",89.63,"3,151"
037,Jalandhar,Total,922,19,21,"4,61,635","21,93,590","11,45,211","10,48,379",2624.00,836
037,Jalandhar,Rural,922,19,0,"2,13,682","10,32,419","5,28,790","5,03,629",2380.79,434
037,Jalandhar,Urban,0,0,21,"2,47,953","11,61,171","6,16,421","5,44,750",243.21,"4,774"
038,Hoshiarpur,Total,"1,385",31,13,"3,36,994","15,86,625","8,09,057","7,77,568",3386.00,469
038,Hoshiarpur,Rural,"1,385",31,0,"2,64,831","12,51,656","6,34,470","6,17,186",3243.71,386
038,Hoshiarpur,Urban,0,0,13,"72,163","3,34,969","1,74,587","1,60,382",142.29,"2,354"
039,Shahid Bhagat Singh Nagar ,Total,458,10,8,"1,29,500","6,12,310","3,13,291","2,99,019",1282.00,478
039,Shahid Bhagat Singh Nagar ,Rural,458,10,0,"1,02,766","4,86,894","2,48,118","2,38,776",1214.65,401
039,Shahid Bhagat Singh Nagar ,Urban,0,0,8,"26,734","1,25,416","65,173","60,243",67.35,"1,862"
040,Fatehgarh Sahib,Total,442,4,5,"1,18,100","6,00,163","3,20,795","2,79,368",1180.00,509
040,Fatehgarh Sahib,Rural,442,4,0,"78,997","4,14,681","2,20,050","1,94,631",1102.33,376
040,Fatehgarh Sahib,Urban,0,0,5,"39,103","1,85,482","1,00,745","84,737",77.67,"2,388"
041,Ludhiana,Total,885,22,20,"7,16,826","34,98,739","18,67,816","16,30,923",3578.00,978
041,Ludhiana,Rural,885,22,0,"2,80,796","14,29,031","7,53,444","6,75,587",3256.10,439
041,Ludhiana,Urban,0,0,20,"4,36,030","20,69,708","11,14,372","9,55,336",321.90,"6,430"
042,Moga,Total,319,6,5,"1,93,256","9,95,746","5,25,920","4,69,826",2242.00,444
042,Moga,Rural,319,6,0,"1,47,298","7,68,500","4,05,704","3,62,796",2192.35,351
042,Moga,Urban,0,0,5,"45,958","2,27,246","1,20,216","1,07,030",49.65,"4,577"
043,Firozpur,Total,955,45,13,"3,85,994","20,29,074","10,71,637","9,57,437",5305.00,382
043,Firozpur,Rural,955,45,0,"2,76,967","14,76,518","7,76,208","7,00,310",5166.42,286
043,Firozpur,Urban,0,0,13,"1,09,027","5,52,556","2,95,429","2,57,127",138.58,"3,987"
044,Muktsar,Total,233,1,4,"1,74,360","9,01,896","4,75,622","4,26,274",2593.00,348
044,Muktsar,Rural,233,1,0,"1,24,124","6,49,705","3,42,202","3,07,503",2530.28,257
044,Muktsar,Urban,0,0,4,"50,236","2,52,191","1,33,420","1,18,771",62.72,"4,021"
045,Faridkot,Total,163,8,3,"1,20,893","6,17,508","3,26,671","2,90,837",1458.00,424
045,Faridkot,Rural,163,8,0,"76,728","4,00,457","2,10,782","1,89,675",1413.01,283
045,Faridkot,Urban,0,0,3,"44,165","2,17,051","1,15,889","1,01,162",44.99,"4,824"
046,Bathinda,Total,279,2,12,"2,73,902","13,88,525","7,43,197","6,45,328",3353.00,414
046,Bathinda,Rural,279,2,0,"1,71,292","8,89,308","4,74,484","4,14,824",3193.91,278
046,Bathinda,Urban,0,0,12,"1,02,610","4,99,217","2,68,713","2,30,504",159.09,"3,138"
047,Mansa,Total,238,2,5,"1,49,630","7,69,751","4,08,732","3,61,019",2198.00,350
047,Mansa,Rural,238,2,0,"1,17,232","6,06,147","3,22,184","2,83,963",2149.33,282
047,Mansa,Urban,0,0,5,"32,398","1,63,604","86,548","77,056",48.67,"3,361"
048,Patiala,Total,895,17,12,"3,72,293","18,95,686","10,02,522","8,93,164",3325.00,570
048,Patiala,Rural,895,17,0,"2,14,257","11,32,406","5,98,800","5,33,606",3169.81,357
048,Patiala,Urban,0,0,12,"1,58,036","7,63,280","4,03,722","3,59,558",155.19,"4,918"
049,Amritsar ,Total,703,36,15,"4,88,898","24,90,656","13,18,408","11,72,248",2683.00,928
049,Amritsar ,Rural,703,36,0,"2,14,993","11,56,045","6,07,266","5,48,779",2462.03,470
049,Amritsar ,Urban,0,0,15,"2,73,905","13,34,611","7,11,142","6,23,469",220.97,"6,040"
050,Tarn Taran,Total,479,10,4,"2,03,421","11,19,627","5,89,369","5,30,258",2414.00,464
050,Tarn Taran,Rural,479,10,0,"1,76,669","9,77,832","5,14,322","4,63,510",2379.67,411
050,Tarn Taran,Urban,0,0,4,"26,752","1,41,795","75,047","66,748",34.33,"4,130"
051,Rupnagar,Total,591,20,8,"1,35,635","6,84,627","3,57,485","3,27,142",1356.00,505
051,Rupnagar,Rural,591,20,0,"97,827","5,06,820","2,64,089","2,42,731",1300.40,390
051,Rupnagar,Urban,0,0,8,"37,808","1,77,807","93,396","84,411",55.60,"3,198"
052,Sahibzada Ajit Singh Nagar,Total,403,16,15,"2,05,411","9,94,628","5,29,253","4,65,375",1094.00,909
052,Sahibzada Ajit Singh Nagar,Rural,403,16,0,"85,123","4,50,017","2,40,984","2,09,033",921.97,488
052,Sahibzada Ajit Singh Nagar,Urban,0,0,15,"1,20,288","5,44,611","2,88,269","2,56,342",172.03,"3,166"
053,Sangrur,Total,564,7,13,"3,18,870","16,55,169","8,78,029","7,77,140",3625.00,457
053,Sangrur,Rural,564,7,0,"2,17,864","11,39,204","6,04,653","5,34,551",3465.75,329
053,Sangrur,Urban,0,0,13,"1,01,006","5,15,965","2,73,376","2,42,589",159.25,"3,240"
054,Barnala,Total,127,1,5,"1,15,798","5,95,527","3,17,522","2,78,005",1482.00,402
054,Barnala,Rural,127,1,0,"76,657","4,04,842","2,15,210","1,89,632",1431.25,283
054,Barnala,Urban,0,0,5,"39,141","1,90,685","1,02,312","88,373",50.75,"3,757"
055,Chandigarh,Total,5,0,6,"2,41,173","10,55,450","5,80,663","4,74,787",114.00,"9,258"
055,Chandigarh,Rural,5,0,0,"7,140","28,991","17,150","11,841",4.47,"6,486"
055,Chandigarh,Urban,0,0,6,"2,34,033","10,26,459","5,63,513","4,62,946",109.53,"9,371"
056,Uttarkashi,Total,694,13,3,"67,602","3,30,086","1,68,597","1,61,489",8016.00,41
056,Uttarkashi,Rural,694,13,0,"61,914","3,05,781","1,55,375","1,50,406",7988.98,38
056,Uttarkashi,Urban,0,0,3,"5,688","24,305","13,222","11,083",27.02,900
057,Chamoli,Total,"1,170",76,6,"88,964","3,91,605","1,93,991","1,97,614",8030.00,49
057,Chamoli,Rural,"1,170",76,0,"74,318","3,32,209","1,60,369","1,71,840",7990.47,42
057,Chamoli,Urban,0,0,6,"14,646","59,396","33,622","25,774",39.53,"1,503"
058,Rudraprayag,Total,653,35,2,"53,542","2,42,285","1,14,589","1,27,696",1984.00,122
058,Rudraprayag,Rural,653,35,0,"50,882","2,32,360","1,08,740","1,23,620",1971.25,118
058,Rudraprayag,Urban,0,0,2,"2,660","9,925","5,849","4,076",12.75,778
059,Tehri Garhwal,Total,"1,774",88,7,"1,32,714","6,18,931","2,97,986","3,20,945",3642.00,170
059,Tehri Garhwal,Rural,"1,774",88,0,"1,15,691","5,48,792","2,59,381","2,89,411",3575.89,153
059,Tehri Garhwal,Urban,0,0,7,"17,023","70,139","38,605","31,534",66.11,"1,061"
060,Dehradun,Total,731,17,22,"3,47,001","16,96,694","8,92,199","8,04,495",3088.00,549
060,Dehradun,Rural,731,17,0,"1,44,112","7,54,753","3,92,891","3,61,862",2815.70,268
060,Dehradun,Urban,0,0,22,"2,02,889","9,41,941","4,99,308","4,42,633",272.30,"3,459"
061,Garhwal,Total,"3,142",331,8,"1,61,778","6,87,271","3,26,829","3,60,442",5329.00,129
061,Garhwal,Rural,"3,142",331,0,"1,36,180","5,74,568","2,68,029","3,06,539",5256.84,109
061,Garhwal,Urban,0,0,8,"25,598","1,12,703","58,800","53,903",72.16,"1,562"
062,Pithoragarh,Total,"1,572",103,3,"1,14,730","4,83,439","2,39,306","2,44,133",7090.00,68
062,Pithoragarh,Rural,"1,572",103,0,"96,971","4,13,834","2,02,930","2,10,904",7073.50,59
062,Pithoragarh,Urban,0,0,3,"17,759","69,605","36,376","33,229",16.50,"4,218"
063,Bageshwar,Total,874,73,1,"58,046","2,59,898","1,24,326","1,35,572",2241.00,116
063,Bageshwar,Rural,874,73,0,"55,992","2,50,819","1,19,615","1,31,204",2235.50,112
063,Bageshwar,Urban,0,0,1,"2,054","9,079","4,711","4,368",5.50,"1,651"
064,"Almora
",Total,"2,184",105,5,"1,40,577","6,22,506","2,91,081","3,31,425",3144.00,198
064,"Almora
",Rural,"2,184",105,0,"1,25,209","5,60,192","2,57,359","3,02,833",3108.32,180
064,"Almora
",Urban,0,0,5,"15,368","62,314","33,722","28,592",35.68,"1,746"
065,Champawat,Total,662,55,4,"53,953","2,59,648","1,31,125","1,28,523",1766.00,147
065,Champawat,Rural,662,55,0,"45,741","2,21,305","1,10,842","1,10,463",1752.96,126
065,Champawat,Urban,0,0,4,"8,212","38,343","20,283","18,060",13.04,"2,940"
066,Nainital,Total,"1,097",44,11,"1,91,383","9,54,605","4,93,666","4,60,939",4251.00,225
066,Nainital,Rural,"1,097",44,0,"1,14,954","5,82,871","2,99,257","2,83,614",4153.12,140
066,Nainital,Urban,0,0,11,"76,429","3,71,734","1,94,409","1,77,325",97.88,"3,798"
067,Udham Singh Nagar,Total,674,14,19,"3,08,581","16,48,902","8,58,783","7,90,119",2542.00,649
067,Udham Singh Nagar,Rural,674,14,0,"1,98,645","10,62,142","5,50,470","5,11,672",2419.79,439
067,Udham Singh Nagar,Urban,0,0,19,"1,09,936","5,86,760","3,08,313","2,78,447",122.21,"4,801"
068,Hardwar,Total,518,94,24,"3,38,104","18,90,422","10,05,295","8,85,127",2360.00,801
068,Hardwar,Rural,518,94,0,"2,04,477","11,97,328","6,33,784","5,63,544",2238.76,535
068,Hardwar,Urban,0,0,24,"1,33,627","6,93,094","3,71,511","3,21,583",121.24,"5,717"
069,Panchkula,Total,206,13,8,"1,17,107","5,61,293","2,99,679","2,61,614",898.00,625
069,Panchkula,Rural,206,13,0,"46,154","2,48,063","1,33,153","1,14,910",827.51,300
069,Panchkula,Urban,0,0,8,"70,953","3,13,230","1,66,526","1,46,704",70.49,"4,444"
070,Ambala,Total,461,9,15,"2,24,334","11,28,350","5,98,703","5,29,647",1574.00,717
070,Ambala,Rural,461,9,0,"1,17,702","6,27,576","3,31,703","2,95,873",1440.40,436
070,Ambala,Urban,0,0,15,"1,06,632","5,00,774","2,67,000","2,33,774",133.60,"3,748"
071,Yamunanagar,Total,611,25,12,"2,35,423","12,14,205","6,46,718","5,67,487",1768.00,687
071,Yamunanagar,Rural,611,25,0,"1,36,652","7,41,376","3,93,957","3,47,419",1676.64,442
071,Yamunanagar,Urban,0,0,12,"98,771","4,72,829","2,52,761","2,20,068",91.36,"5,175"
072,Kurukshetra,Total,407,8,5,"1,88,143","9,64,655","5,10,976","4,53,679",1530.00,630
072,Kurukshetra,Rural,407,8,0,"1,30,824","6,85,430","3,61,020","3,24,410",1455.63,471
072,Kurukshetra,Urban,0,0,5,"57,319","2,79,225","1,49,956","1,29,269",74.37,"3,755"
073,Kaithal,Total,267,2,4,"2,04,274","10,74,304","5,71,003","5,03,301",2317.00,464
073,Kaithal,Rural,267,2,0,"1,58,019","8,38,293","4,45,931","3,92,362",2212.70,379
073,Kaithal,Urban,0,0,4,"46,255","2,36,011","1,25,072","1,10,939",104.30,"2,263"
074,Karnal,Total,417,17,8,"2,92,084","15,05,324","7,97,712","7,07,612",2520.00,597
074,Karnal,Rural,417,17,0,"1,98,594","10,50,514","5,57,110","4,93,404",2451.05,429
074,Karnal,Urban,0,0,8,"93,490","4,54,810","2,40,602","2,14,208",68.95,"6,596"
075,Panipat,Total,176,10,12,"2,35,640","12,05,437","6,46,857","5,58,580",1268.00,951
075,Panipat,Rural,176,10,0,"1,21,876","6,50,352","3,49,642","3,00,710",1188.65,547
075,Panipat,Urban,0,0,12,"1,13,764","5,55,085","2,97,215","2,57,870",79.35,"6,995"
076,Sonipat,Total,319,13,8,"2,77,726","14,50,001","7,81,299","6,68,702",2122.00,683
076,Sonipat,Rural,319,13,0,"1,87,552","9,96,637","5,38,750","4,57,887",2039.99,489
076,Sonipat,Urban,0,0,8,"90,174","4,53,364","2,42,549","2,10,815",82.01,"5,528"
077,Jind,Total,302,4,6,"2,49,736","13,34,152","7,13,006","6,21,146",2702.00,494
077,Jind,Rural,302,4,0,"1,90,875","10,28,569","5,50,519","4,78,050",2626.74,392
077,Jind,Urban,0,0,6,"58,861","3,05,583","1,62,487","1,43,096",75.26,"4,060"
078,Fatehabad,Total,245,0,4,"1,80,637","9,42,011","4,95,360","4,46,651",2538.00,371
078,Fatehabad,Rural,245,0,0,"1,45,137","7,62,423","4,00,814","3,61,609",2503.26,305
078,Fatehabad,Urban,0,0,4,"35,500","1,79,588","94,546","85,042",34.74,"5,169"
079,Sirsa,Total,327,3,5,"2,46,571","12,95,189","6,82,582","6,12,607",4277.00,303
079,Sirsa,Rural,327,3,0,"1,83,495","9,75,941","5,14,177","4,61,764",4218.02,231
079,Sirsa,Urban,0,0,5,"63,076","3,19,248","1,68,405","1,50,843",58.98,"5,413"
080,Hisar,Total,268,1,11,"3,35,608","17,43,931","9,31,562","8,12,369",3983.00,438
080,Hisar,Rural,268,1,0,"2,25,651","11,90,443","6,34,139","5,56,304",3835.53,310
080,Hisar,Urban,0,0,11,"1,09,957","5,53,488","2,97,423","2,56,065",147.47,"3,753"
081,Bhiwani,Total,442,2,6,"3,11,380","16,34,445","8,66,672","7,67,773",4778.00,342
081,Bhiwani,Rural,442,2,0,"2,48,136","13,13,123","6,96,212","6,16,911",4719.93,278
081,Bhiwani,Urban,0,0,6,"63,244","3,21,322","1,70,460","1,50,862",58.07,"5,533"
082,Rohtak,Total,136,7,5,"2,06,988","10,61,204","5,68,479","4,92,725",1745.00,608
082,Rohtak,Rural,136,7,0,"1,17,450","6,15,040","3,32,034","2,83,006",1639.02,375
082,Rohtak,Urban,0,0,5,"89,538","4,46,164","2,36,445","2,09,719",105.98,"4,210"
083,Jhajjar,Total,247,13,5,"1,85,334","9,58,405","5,14,667","4,43,738",1834.00,523
083,Jhajjar,Rural,247,13,0,"1,36,503","7,15,066","3,84,219","3,30,847",1752.88,408
083,Jhajjar,Urban,0,0,5,"48,831","2,43,339","1,30,448","1,12,891",81.12,"3,000"
084,Mahendragarh,Total,369,1,5,"1,71,712","9,22,088","4,86,665","4,35,423",1899.00,486
084,Mahendragarh,Rural,369,1,0,"1,47,122","7,89,233","4,16,358","3,72,875",1866.02,423
084,Mahendragarh,Urban,0,0,5,"24,590","1,32,855","70,307","62,548",32.98,"4,028"
085,Rewari,Total,389,14,9,"1,78,043","9,00,332","4,74,335","4,25,997",1594.00,565
085,Rewari,Rural,389,14,0,"1,30,299","6,66,902","3,49,710","3,17,192",1529.11,436
085,Rewari,Urban,0,0,9,"47,744","2,33,430","1,24,625","1,08,805",64.89,"3,597"
086,Gurgaon,Total,229,13,9,"3,26,428","15,14,432","8,16,690","6,97,742",1258.00,"1,204"
086,Gurgaon,Rural,229,13,0,"88,678","4,72,179","2,51,462","2,20,717",976.65,483
086,Gurgaon,Urban,0,0,9,"2,37,750","10,42,253","5,65,228","4,77,025",281.35,"3,704"
087,Mewat ,Total,412,27,8,"1,60,280","10,89,263","5,71,162","5,18,101",1507.00,723
087,Mewat ,Rural,412,27,0,"1,39,975","9,65,157","5,06,086","4,59,071",1441.71,669
087,Mewat ,Urban,0,0,8,"20,305","1,24,106","65,076","59,030",65.29,"1,901"
088,Faridabad,Total,144,5,3,"3,58,919","18,09,733","9,66,110","8,43,623",741.00,"2,442"
088,Faridabad,Rural,144,5,0,"63,366","3,70,878","1,98,103","1,72,775",522.58,710
088,Faridabad,Urban,0,0,3,"2,95,553","14,38,855","7,68,007","6,70,848",218.42,"6,588"
089,Palwal ,Total,268,12,6,"1,71,157","10,42,708","5,54,497","4,88,211",1359.00,767
089,Palwal ,Rural,268,12,0,"1,29,696","8,06,164","4,28,907","3,77,257",1311.90,615
089,Palwal ,Urban,0,0,6,"41,461","2,36,544","1,25,590","1,10,954",47.10,"5,022"
090,North West,Total,48,4,34,"7,36,253","36,56,539","19,60,922","16,95,617",443.00,"8,254"
090,North West,Rural,48,4,0,"40,500","2,13,950","1,15,680","98,270",170.75,"1,253"
090,North West,Urban,0,0,34,"6,95,753","34,42,589","18,45,242","15,97,347",272.25,"12,645"
091,North,Total,2,2,4,"1,80,044","8,87,978","4,75,002","4,12,976",61.00,"14,557"
091,North,Rural,2,2,0,"3,312","17,746","9,546","8,200",9.62,"1,845"
091,North,Urban,0,0,4,"1,76,732","8,70,232","4,65,456","4,04,776",51.38,"16,937"
