District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
597,Kottayam,Total,80,0,17,"4,87,296","19,74,551","9,68,289","10,06,262",2206.0,895,293,54,17,3,0
598,Alappuzha,Total,51,1,38,"5,35,958","21,27,789","10,13,142","11,14,647",1415.0,"1,504",324,56,16,4,0
600,Kollam,Total,69,0,27,"6,69,375","26,35,375","12,46,968","13,88,407",2483.0,"1,061",368,50,16,6,0
602,Thiruvallur,Total,582,35,58,"9,46,949","37,28,104","18,76,062","18,52,042",3394.0,"1,098",303,34,14,10,1
604,Kancheepuram,Total,962,57,75,"10,06,245","39,98,252","20,12,958","19,85,294",4483.0,892,364,44,13,7,1
605,Vellore,Total,763,95,72,"9,29,281","39,36,331","19,61,688","19,74,643",6075.0,648,454,55,20,9,1
607,Viluppuram,Total,"1,431",55,19,"8,00,368","34,58,873","17,40,819","17,18,054",7194.0,481,557,68,22,8,1
608,Salem,Total,517,68,68,"9,15,967","34,82,056","17,81,571","17,00,485",5237.0,665,398,59,20,8,1
610,Erode,Total,287,19,59,"6,58,071","22,51,744","11,29,868","11,21,876",5760.0,391,311,38,14,7,1
611,The Nilgiris,Total,40,0,18,"1,97,653","7,35,394","3,60,143","3,75,251",2565.0,287,194,26,4,5,1
612,Dindigul,Total,330,32,34,"5,60,773","21,59,775","10,80,938","10,78,837",6036.0,358,311,43,14,11,1
613,Karur ,Total,169,1,19,"2,87,095","10,64,493","5,28,184","5,36,309",2904.0,367,168,23,8,5,1
615,Perambalur  ,Total,147,12,5,"1,49,243","5,65,223","2,82,157","2,83,066",1756.0,322,203,51,10,6,1
617,Cuddalore,Total,799,29,30,"6,35,578","26,05,914","13,11,697","12,94,217",3703.0,704,319,47,13,7,1
619,Thiruvarur,Total,538,9,11,"3,27,219","12,64,277","6,26,693","6,37,584",2274.0,556,195,32,10,6,1
620,Thanjavur,Total,789,16,34,"6,05,363","24,05,890","11,82,416","12,23,474",3411.0,705,309,49,14,12,1
621,Pudukkottai,Total,732,18,16,"3,87,679","16,18,345","8,03,188","8,15,157",4644.0,348,240,42,13,11,1
622,Sivaganga,Total,508,7,16,"3,38,938","13,39,101","6,68,672","6,70,429",4233.0,316,275,36,12,9,1
623,Madurai,Total,526,44,39,"7,94,887","30,38,252","15,26,475","15,11,777",3710.0,819,314,38,13,5,1
624,Theni  ,Total,80,18,28,"3,38,112","12,45,899","6,25,683","6,20,216",2868.0,434,162,22,8,5,1
628,Tirunelveli ,Total,430,35,53,"8,15,528","30,77,233","15,20,912","15,56,321",6693.0,460,383,50,19,12,1
630,Dharmapuri,Total,448,38,13,"3,75,873","15,06,843","7,74,303","7,32,540",4497.0,335,218,28,8,3,1
632,Coimbatore,Total,219,18,69,"9,58,035","34,58,045","17,29,297","17,28,748",4732.0,731,328,35,12,8,1
633,Tiruppur,Total,297,0,49,"7,12,210","24,79,052","12,46,159","12,32,893",5187.0,478,242,30,13,7,1
635,Puducherry,Total,62,0,6,"2,31,513","9,50,289","4,68,258","4,82,031",294.0,"3,232",36,15,2,0,0
636,Mahe,Total,0,0,1,"7,420","41,816","19,143","22,673",9.0,"4,646",0,0,0,0,0
637,Karaikal,Total,28,0,2,"49,705","2,00,222","97,809","1,02,413",157.0,"1,275",17,9,1,0,0
640,South Andaman,Total,108,20,4,"59,064","2,38,142","1,27,283","1,10,859",2672.0,89,37,9,1,0,1
