Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km,Total cases_Lag_1Y,Total cases_Lag_2Y,Total deaths_Lag_1Y,Total deaths_Lag_2Y
2004,Hanumangarh,915,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,180,382,0,0
2005,Hanumangarh,623,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,915,180,1,0
2006,Hanumangarh,516,2,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,623,915,0,1
2007,Hanumangarh,1365,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,516,623,2,0
2008,Hanumangarh,1902,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,1365,516,1,2
2009,Hanumangarh,3811,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,1902,1365,0,1
2010,Hanumangarh,2894,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,3811,1902,1,0
2011,Hanumangarh,1019,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,2894,3811,1,1
2012,Hanumangarh,1556,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,1019,2894,1,1
2013,Hanumangarh,788,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,1556,1019,1,1
2014,Hanumangarh,311,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,788,1556,0,1
2015,Hanumangarh,228,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,311,788,0,0
2016,Hanumangarh,111,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,228,311,0,0
2017,Hanumangarh,156,1,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,111,228,0,0
2018,Hanumangarh,78,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,156,111,1,0
2019,Hanumangarh,54,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,78,156,0,1
2020,Hanumangarh,34,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,54,78,0,0
2021,Hanumangarh,12,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,34,54,0,0
2022,Hanumangarh,4,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,12,34,0,0
2023,Hanumangarh,6,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,4,12,0,0
2024,Hanumangarh,5,0,100,1831,76,6,336192,1774692,931184,843508,9656,184,285,39,9,0,1,47.52982489,5.278804969,333,1,18.7638193,0.056347806,52.47017511,184,6,4,0,0
2003,Hardoi,326,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,92,54,0,0
2004,Hardoi,207,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,326,92,0,0
2005,Hardoi,92,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,207,326,0,0
2006,Hardoi,86,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,92,207,0,0
2007,Hardoi,107,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,86,92,0,0
2008,Hardoi,33,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,107,86,0,0
2009,Hardoi,64,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,33,107,0,0
2010,Hardoi,55,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,64,33,0,0
2011,Hardoi,156,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,55,64,0,0
2012,Hardoi,94,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,156,55,0,0
2013,Hardoi,35,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,94,156,0,0
2014,Hardoi,76,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,35,94,0,0
2015,Hardoi,47,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,76,35,0,0
2016,Hardoi,88,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,47,76,0,0
2017,Hardoi,436,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,88,47,0,0
2018,Hardoi,526,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,436,88,0,0
2019,Hardoi,3779,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,526,436,0,0
2020,Hardoi,2604,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,3779,526,0,0
2021,Hardoi,249,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,2604,3779,0,0
2022,Hardoi,716,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,249,2604,0,0
2023,Hardoi,548,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,716,249,0,0
2024,Hardoi,2351,0,155,1907,163,13,730442,4092845,2191442,1901403,5986,684,432,76,9,0,0,46.45675563,5.603244337,517,0,12.63180013,0,53.54324437,684,548,716,0,0
2002,Hassan,7352,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,8870,3230,0,0
2003,Hassan,5203,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,7352,8870,0,0
2004,Hassan,1416,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,5203,7352,0,0
2005,Hassan,948,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,1416,5203,0,0
2006,Hassan,412,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,948,1416,0,0
2007,Hassan,182,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,412,948,0,0
2008,Hassan,88,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,182,412,0,0
2009,Hassan,61,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,88,182,0,0
2010,Hassan,58,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,61,88,0,0
2011,Hassan,41,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,58,61,0,0
2012,Hassan,62,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,41,58,0,0
2013,Hassan,74,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,62,41,0,0
2014,Hassan,68,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,74,62,0,0
2015,Hassan,29,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,68,74,0,0
2016,Hassan,21,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,29,68,0,0
2017,Hassan,14,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,21,29,0,0
2018,Hassan,13,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,14,21,0,0
2019,Hassan,32,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,13,14,0,0
2020,Hassan,3,1,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,32,13,0,0
2021,Hassan,12,1,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,3,32,1,0
2022,Hassan,1,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,12,3,1,1
2023,Hassan,3,1,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,1,12,0,1
2024,Hassan,0,0,574,2418,156,11,433453,1776421,883667,892754,6814,261,456,137,14,7,1,50.25576707,4.098301315,607,8,34.16982799,0.450343697,49.74423293,261,3,1,1,0
2002,Haveri,312,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,139,122,0,0
2003,Haveri,340,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,312,139,1,0
2004,Haveri,370,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,340,312,1,1
2005,Haveri,492,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,370,340,1,1
2006,Haveri,574,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,492,370,0,1
2007,Haveri,802,2,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,574,492,1,0
2008,Haveri,593,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,802,574,2,1
2009,Haveri,397,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,593,802,1,2
2010,Haveri,435,1,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,397,593,0,1
2011,Haveri,290,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,435,397,1,0
2012,Haveri,419,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,290,435,0,1
2013,Haveri,287,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,419,290,0,0
2014,Haveri,377,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,287,419,0,0
2015,Haveri,258,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,377,287,0,0
2016,Haveri,154,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,258,377,0,0
2017,Haveri,76,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,154,258,0,0
2018,Haveri,35,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,76,154,0,0
2019,Haveri,12,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,35,76,0,0
2020,Haveri,5,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,12,35,0,0
2021,Haveri,4,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,5,12,0,0
2022,Haveri,3,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,4,5,0,0
2023,Haveri,4,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,3,4,0,0
2024,Haveri,0,0,564,696,7,10,330414,1597668,819128,778540,4823,331,303,72,5,6,1,48.72977365,4.835352013,380,7,23.78466615,0.438138587,51.27022635,331,4,3,0,0
2002,Hazaribagh,11664,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,11517,9490,0,0
2003,Hazaribagh,13259,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,11664,11517,0,0
2004,Hazaribagh,8518,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,13259,11664,0,0
2005,Hazaribagh,8821,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,8518,13259,0,0
2006,Hazaribagh,7758,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,8821,8518,0,0
2007,Hazaribagh,9832,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,7758,8821,0,0
2008,Hazaribagh,9149,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,9832,7758,0,0
2009,Hazaribagh,7902,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,9149,9832,0,0
2010,Hazaribagh,8450,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,7902,9149,0,0
2011,Hazaribagh,8212,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,8450,7902,0,0
2012,Hazaribagh,9167,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,8212,8450,0,0
2013,Hazaribagh,5687,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,9167,8212,0,0
2014,Hazaribagh,5698,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,5687,9167,0,0
2015,Hazaribagh,4924,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,5698,5687,0,0
2016,Hazaribagh,4627,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,4924,5698,0,0
2017,Hazaribagh,3335,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,4627,4924,0,0
2018,Hazaribagh,2459,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,3335,4627,0,0
2019,Hazaribagh,1412,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,2459,3335,0,0
2020,Hazaribagh,210,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,1412,2459,0,0
2021,Hazaribagh,356,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,210,1412,0,0
2022,Hazaribagh,558,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,356,210,0,0
2023,Hazaribagh,369,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,558,356,0,0
2024,Hazaribagh,43,0,360,1193,115,17,304749,1734495,890881,843614,3555,488,146,14,10,0,1,48.63744202,5.69155272,170,1,9.80112367,0.057653669,51.36255798,488,369,558,0,0
2002,Hingoli,107,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,117,193,1,0
2003,Hingoli,115,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,107,117,0,1
2004,Hingoli,58,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,115,107,0,0
2005,Hingoli,16,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,58,115,0,0
2006,Hingoli,23,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,16,58,0,0
2007,Hingoli,34,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,23,16,0,0
2008,Hingoli,19,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,34,23,0,0
2009,Hingoli,27,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,19,34,0,0
2010,Hingoli,37,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,27,19,0,0
2011,Hingoli,16,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,37,27,0,0
2012,Hingoli,10,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,16,37,0,0
2013,Hingoli,19,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,10,16,0,0
2014,Hingoli,11,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,19,10,0,0
2015,Hingoli,3,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,11,19,0,0
2016,Hingoli,4,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,3,11,0,0
2017,Hingoli,1,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,4,3,0,0
2018,Hingoli,2,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,1,4,0,0
2019,Hingoli,1,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,2,1,0,0
2020,Hingoli,0,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,1,2,0,0
2021,Hingoli,0,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,0,1,0,0
2022,Hingoli,0,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,0,0,0,0
2023,Hingoli,0,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,0,0,0,0
2024,Hingoli,0,0,512,675,36,3,228868,1177345,606294,571051,4827,244,132,24,3,1,1,48.50328493,5.144209763,159,2,13.50496244,0.169873741,51.49671507,244,0,0,0,0
2002,Hisar,36,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,56,15,0,0
2003,Hisar,71,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,36,56,0,0
2004,Hisar,210,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,71,36,0,0
2005,Hisar,1756,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,210,71,0,0
2006,Hisar,3355,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,1756,210,0,0
2007,Hisar,4718,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,3355,1756,0,0
2008,Hisar,8268,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,4718,3355,0,0
2009,Hisar,9463,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,8268,4718,0,0
2010,Hisar,5726,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,9463,8268,0,0
2011,Hisar,9308,0,80,268,1,11,335608,1743931,931562,812369,3983,438,198,35,8,3,1,46.58263429,5.196333222,241,4,13.81935409,0.229366873,53.41736571,438,5726,9463,0,0
