Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Sivasagar,47.0,1.0,311.0,862.0,13.0,7.0,248367.0,1151050.0,589216.0,561834.0,2668.0,431.0,219.0,43.0,2.0,2.0,1.0,48.81056426740802,4.634472373543989,264.0,3.0,22.935580556882847,0.260631597237305,51.18943573259198,431.0
2000,Sonitpur,6089.0,10.0,306.0,1798.0,78.0,8.0,392919.0,1924110.0,983904.0,940206.0,5204.0,370.0,279.0,53.0,3.0,2.0,1.0,48.86446201100769,4.896963496293129,335.0,3.0,17.410647000431368,0.1559162417949077,51.13553798899231,370.0
2000,Tinsukia,1437.0,0.0,309.0,1136.0,32.0,13.0,268598.0,1327929.0,680231.0,647698.0,3790.0,350.0,164.0,19.0,5.0,0.0,1.0,48.77504746112179,4.943927356123277,188.0,1.0,14.157383414324109,0.0753052309272559,51.22495253887821,350.0
2000,Araria,0.0,0.0,209.0,716.0,26.0,3.0,568142.0,2811569.0,1463333.0,1348236.0,2830.0,993.0,199.0,33.0,2.0,1.0,1.0,47.95315355945382,4.948708245473843,234.0,2.0,8.322755016860693,0.0711346582637666,52.04684644054619,993.0
2000,Aurangabad,2052.0,0.0,235.0,1742.0,105.0,6.0,391898.0,2540073.0,1318684.0,1221389.0,3305.0,769.0,216.0,70.0,3.0,0.0,1.0,48.08479913766258,6.4814645647591975,289.0,1.0,11.377625761149384,0.039368947270413,51.91520086233742,769.0
2000,Aurangabad,2052.0,0.0,235.0,1742.0,105.0,6.0,391898.0,2540073.0,1318684.0,1221389.0,3305.0,769.0,279.0,50.0,10.0,3.0,0.0,48.08479913766258,6.4814645647591975,339.0,3.0,13.346073124670038,0.1181068418112392,51.91520086233742,769.0
2000,Banka,0.0,0.0,225.0,1702.0,409.0,2.0,381601.0,2034763.0,1067140.0,967623.0,3020.0,674.0,265.0,43.0,3.0,1.0,1.0,47.55458006657287,5.332174181933485,311.0,2.0,15.28433532553914,0.0982915455018594,52.44541993342714,674.0
2000,Begusarai,0.0,0.0,222.0,694.0,446.0,10.0,589667.0,2970541.0,1567660.0,1402881.0,1918.0,1549.0,287.0,41.0,2.0,1.0,1.0,47.226447976984666,5.037658542872503,330.0,2.0,11.109087536580038,0.0673278032520002,52.77355202301533,1549.0
2000,Bhagalpur,32.0,0.0,224.0,966.0,549.0,10.0,564711.0,3037766.0,1615663.0,1422103.0,2569.0,1182.0,258.0,71.0,3.0,2.0,1.0,46.81410615564201,5.379328541501759,332.0,3.0,10.929084070333266,0.0987567837680716,53.18589384435799,1182.0
2000,Bhojpur,11.0,0.0,231.0,997.0,220.0,6.0,416090.0,2728407.0,1430380.0,1298027.0,2395.0,1139.0,302.0,42.0,3.0,1.0,1.0,47.57453708336036,6.557252036818958,347.0,2.0,12.71804389887579,0.0733028466793993,52.42546291663963,1139.0
